id,price,neighbourhood_cleansed,neighbourhood_group_cleansed,review_scores_rating
695993805602063417,80.0,el Parc i la Llacuna del Poblenou,Sant Martí,4.54
696007792432489673,90.0,la Sagrada Família,Eixample,4.63
696133389832480539,42.0,la Sagrada Família,Eixample,4.1
690421336334403240,130.0,el Barri Gòtic,Ciutat Vella,4.35
690506064289739448,590.0,Sant Antoni,Eixample,4.71
691019644664741331,111.0,el Raval,Ciutat Vella,5.0
691031340885951631,118.0,la Dreta de l'Eixample,Eixample,4.49
691138453545188652,197.0,Sarrià,Sarrià-Sant Gervasi,5.0
691193725678203929,166.0,la Nova Esquerra de l'Eixample,Eixample,4.98
696286140249559857,170.0,la Vila de Gràcia,Gràcia,4.54
696304195977343084,54.0,el Poble Sec,Sants-Montjuïc,4.69
696336132835507988,63.0,el Poble Sec,Sants-Montjuïc,5.0
696336166128276277,84.0,el Poble Sec,Sants-Montjuïc,5.0
696398145746380091,23.0,Sant Antoni,Eixample,4.71
696469431043252365,95.0,el Parc i la Llacuna del Poblenou,Sant Martí,4.3
696518630944461911,34.0,el Barri Gòtic,Ciutat Vella,4.5
691199055787813027,28.0,la Teixonera,Horta-Guinardó,4.11
691213281081909628,185.0,l'Antiga Esquerra de l'Eixample,Eixample,4.95
691214219514054226,160.0,l'Antiga Esquerra de l'Eixample,Eixample,4.98
691218241291542242,123.0,el Barri Gòtic,Ciutat Vella,4.54
691244680016995988,118.0,el Barri Gòtic,Ciutat Vella,4.71
691258435588056348,126.0,el Barri Gòtic,Ciutat Vella,4.07
691269865860123700,95.0,el Barri Gòtic,Ciutat Vella,4.56
691274207596749989,92.0,el Barri Gòtic,Ciutat Vella,4.0
696707754421797135,23.0,Sants - Badal,Sants-Montjuïc,5.0
696744073521163665,116.0,l'Antiga Esquerra de l'Eixample,Eixample,4.5
696780803060153037,171.0,l'Antiga Esquerra de l'Eixample,Eixample,5.0
696833486507492569,80.0,Can Baró,Horta-Guinardó,4.71
696950402779631432,38.0,el Poble Sec,Sants-Montjuïc,4.71
697016272017051968,25.0,Sant Andreu,Sant Andreu,5.0
697221903795131753,65.0,el Raval,Ciutat Vella,1.0
697578891420769168,41.0,Hostafrancs,Sants-Montjuïc,4.64
691281655193829485,99.0,el Barri Gòtic,Ciutat Vella,4.75
691286343561883068,143.0,el Barri Gòtic,Ciutat Vella,4.65
691679958810855386,58.0,Vilapicina i la Torre Llobeta,Nou Barris,4.79
691748436637145534,90.0,el Raval,Ciutat Vella,4.58
692461034142888410,47.0,el Poble Sec,Sants-Montjuïc,4.71
692468709193583237,33.0,l'Antiga Esquerra de l'Eixample,Eixample,4.71
692505213660164844,27.0,Sant Antoni,Eixample,4.71
697584846072978952,42.0,Hostafrancs,Sants-Montjuïc,4.73
697623821266747332,400.0,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,4.71
698210345019464243,148.0,la Vila de Gràcia,Gràcia,4.52
698292693824873609,50.0,les Roquetes,Nou Barris,4.71
698393515022304346,143.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,4.71
698455037502953541,60.0,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,4.77
698508343392952591,58.0,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,4.92
698948854977387511,222.0,el Poble Sec,Sants-Montjuïc,4.61
699085096291789130,72.0,el Raval,Ciutat Vella,3.6
692509671002357473,33.0,la Nova Esquerra de l'Eixample,Eixample,5.0
692578586849249425,42.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,4.8
693097200269934887,32.0,Sant Antoni,Eixample,4.71
693097227760226849,37.0,la Nova Esquerra de l'Eixample,Eixample,4.0
700745245403245680,80.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,4.82
701133424490384607,85.0,el Poble Sec,Sants-Montjuïc,5.0
701439072703886259,120.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,4.65
699382675886239254,63.0,el Fort Pienc,Eixample,4.71
699424507894927843,60.0,el Raval,Ciutat Vella,5.0
699652326804972623,157.0,el Barri Gòtic,Ciutat Vella,5.0
699654087156631166,121.0,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,4.66
699722089621777992,87.0,el Barri Gòtic,Ciutat Vella,5.0
699742768254355946,86.0,el Barri Gòtic,Ciutat Vella,4.71
699743874933332914,237.0,la Dreta de l'Eixample,Eixample,4.42
701449348628079940,100.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,4.76
701963923953958166,155.0,la Nova Esquerra de l'Eixample,Eixample,4.71
702072324565624585,84.0,la Barceloneta,Ciutat Vella,4.68
702614948140771204,66.0,el Parc i la Llacuna del Poblenou,Sant Martí,4.78
703367535468938265,153.0,Pedralbes,Les Corts,4.83
699750745784834447,75.0,la Dreta de l'Eixample,Eixample,5.0
699762878949119039,285.0,la Nova Esquerra de l'Eixample,Eixample,4.4
699763899388931773,93.0,la Dreta de l'Eixample,Eixample,4.71
699763981243531228,105.0,la Nova Esquerra de l'Eixample,Eixample,4.22
699764243192641458,110.0,la Nova Esquerra de l'Eixample,Eixample,4.36
699764442606101591,112.0,la Nova Esquerra de l'Eixample,Eixample,4.29
703747342811643353,36.0,Sants - Badal,Sants-Montjuïc,4.97
704069335622349131,96.0,l'Antiga Esquerra de l'Eixample,Eixample,4.71
704083773826686218,201.0,el Poble Sec,Sants-Montjuïc,3.87
704113267607733948,80.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,4.75
704264342683259609,75.0,la Vila de Gràcia,Gràcia,4.9
699767101236251212,176.0,Horta,Horta-Guinardó,4.64
699786536353886913,311.0,el Raval,Ciutat Vella,4.43
699787762155238265,244.0,el Raval,Ciutat Vella,4.4
699787914473493795,240.0,el Raval,Ciutat Vella,4.26
699788089081604904,170.0,el Raval,Ciutat Vella,4.43
699824086277155935,93.0,la Dreta de l'Eixample,Eixample,4.71
699825617709684007,90.0,la Sagrera,Sant Andreu,5.0
704849055080011597,216.0,la Sagrada Família,Eixample,4.55
704928233769048576,30.0,la Nova Esquerra de l'Eixample,Eixample,5.0
704943423720575297,64.0,Sant Antoni,Eixample,4.53
705230034762273665,70.0,Vallcarca i els Penitents,Gràcia,4.71
705461600774716544,122.0,el Poblenou,Sant Martí,3.8
705472614491266491,125.0,Can Baró,Horta-Guinardó,4.65
705537649447331832,57.0,el Fort Pienc,Eixample,3.88
699827182460643879,225.0,Hostafrancs,Sants-Montjuïc,4.32
699835162723642926,82.0,la Dreta de l'Eixample,Eixample,4.71
699842597962483646,86.0,el Barri Gòtic,Ciutat Vella,4.71
699850919079372781,75.0,la Dreta de l'Eixample,Eixample,4.71
700154500259842375,30.0,el Poble Sec,Sants-Montjuïc,5.0
700424525565613804,74.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,4.25
700433502905623792,125.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,5.0
